,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
55,Saliva,After Me - 2021 Version,5BJs3aDrKYBRkzrhaVxf89,39,8.06e-06,https://api.spotify.com/v1/audio-analysis/5BJs3aDrKYBRkzrhaVxf89,0.462,234288.0,0.855,0.000346,1.0,0.0745,-4.336,0.0,0.0428,89.996,4.0,https://api.spotify.com/v1/tracks/5BJs3aDrKYBRkzrhaVxf89,audio_features,spotify:track:5BJs3aDrKYBRkzrhaVxf89,0.516
56,Drake,Wants and Needs (feat. Lil Baby),65OVbaJR5O1RmwOQx0875b,85,0.0618,https://api.spotify.com/v1/audio-analysis/65OVbaJR5O1RmwOQx0875b,0.578,192956.0,0.449,2.17e-06,1.0,0.119,-6.349,1.0,0.286,136.006,4.0,https://api.spotify.com/v1/tracks/65OVbaJR5O1RmwOQx0875b,audio_features,spotify:track:65OVbaJR5O1RmwOQx0875b,0.1
57,Elvis Costello & The Attractions,No Action - 2021 Remaster,2GFakdGflCFgwFrJfZkvzK,34,0.0265,https://api.spotify.com/v1/audio-analysis/2GFakdGflCFgwFrJfZkvzK,0.342,121093.0,0.907,2.36e-05,4.0,0.206,-4.44,1.0,0.0672,157.509,3.0,https://api.spotify.com/v1/tracks/2GFakdGflCFgwFrJfZkvzK,audio_features,spotify:track:2GFakdGflCFgwFrJfZkvzK,0.624
58,Surf Curse,Freaks,7EkWXAI1wn8Ii883ecd9xr,89,3.84e-05,https://api.spotify.com/v1/audio-analysis/7EkWXAI1wn8Ii883ecd9xr,0.345,147062.0,0.941,0.633,9.0,0.0511,-9.918,1.0,0.0466,179.626,4.0,https://api.spotify.com/v1/tracks/7EkWXAI1wn8Ii883ecd9xr,audio_features,spotify:track:7EkWXAI1wn8Ii883ecd9xr,0.407
59,Rod Stewart,What Are You Doing New Year's Eve?,6ezuSFl2RsptFG7hyZLWVT,48,0.94,https://api.spotify.com/v1/audio-analysis/6ezuSFl2RsptFG7hyZLWVT,0.362,221827.0,0.265,0.0,8.0,0.107,-10.084,1.0,0.0355,76.404,4.0,https://api.spotify.com/v1/tracks/6ezuSFl2RsptFG7hyZLWVT,audio_features,spotify:track:6ezuSFl2RsptFG7hyZLWVT,0.224
60,Polo G,Bad Man (Smooth Criminal),6RfhBNU1FPWTG7VESlfgOl,85,0.0124,https://api.spotify.com/v1/audio-analysis/6RfhBNU1FPWTG7VESlfgOl,0.882,106000.0,0.662,0.0,0.0,0.106,-6.382,1.0,0.242,120.034,4.0,https://api.spotify.com/v1/tracks/6RfhBNU1FPWTG7VESlfgOl,audio_features,spotify:track:6RfhBNU1FPWTG7VESlfgOl,0.57
61,Elvis Costello & The Attractions,Lipstick Vogue - 2021 Remaster,2PiNhvEBruOkFZ4g4IwtXo,33,0.00558,https://api.spotify.com/v1/audio-analysis/2PiNhvEBruOkFZ4g4IwtXo,0.328,213413.0,0.885,0.00884,11.0,0.153,-7.058,0.0,0.0618,149.153,4.0,https://api.spotify.com/v1/tracks/2PiNhvEBruOkFZ4g4IwtXo,audio_features,spotify:track:2PiNhvEBruOkFZ4g4IwtXo,0.504
62,Olivia Rodrigo,drivers license,5wANPM4fQCJwkGd4rN57mH,91,0.768,https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH,0.561,242013.0,0.431,1.42e-05,10.0,0.106,-8.81,1.0,0.0578,143.875,4.0,https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH,audio_features,spotify:track:5wANPM4fQCJwkGd4rN57mH,0.137
63,Armin van Buuren,A State Of Trance (ASOT 1043) - A State Of Trance Year Mix 2021,31h6vbdVjoA5ClIQGDXV1r,39,0.161,https://api.spotify.com/v1/audio-analysis/31h6vbdVjoA5ClIQGDXV1r,0.652,41960.0,0.763,0.0,5.0,0.199,-8.043,0.0,0.285,83.186,5.0,https://api.spotify.com/v1/tracks/31h6vbdVjoA5ClIQGDXV1r,audio_features,spotify:track:31h6vbdVjoA5ClIQGDXV1r,0.744
64,Olivia Rodrigo,deja vu,6HU7h9RYOaPRFeh0R3UeAr,89,0.584,https://api.spotify.com/v1/audio-analysis/6HU7h9RYOaPRFeh0R3UeAr,0.442,215507.0,0.612,5.7e-06,2.0,0.37,-7.222,1.0,0.112,180.917,4.0,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,audio_features,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,0.178
65,Elvis Costello & The Attractions,Lip Service - 2021 Remaster,23acMIboTpqnM5kueS7GV8,30,0.00391,https://api.spotify.com/v1/audio-analysis/23acMIboTpqnM5kueS7GV8,0.538,159213.0,0.916,0.00118,4.0,0.237,-4.906,1.0,0.0318,150.553,4.0,https://api.spotify.com/v1/tracks/23acMIboTpqnM5kueS7GV8,audio_features,spotify:track:23acMIboTpqnM5kueS7GV8,0.892
66,Sleepy Hallow,2055,4XvcHTUfIlWfyJTRG0aqlo,87,0.492,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,0.829,123987.0,0.512,0.0,6.0,0.12,-5.865,0.0,0.187,80.511,4.0,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,audio_features,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,0.638
67,Elvis Costello & The Attractions,Little Triggers - 2021 Remaster,2N8YyefuTvFIbgCiCYoXVU,30,0.257,https://api.spotify.com/v1/audio-analysis/2N8YyefuTvFIbgCiCYoXVU,0.474,163640.0,0.518,1.97e-05,5.0,0.0743,-8.14,1.0,0.0513,156.738,3.0,https://api.spotify.com/v1/tracks/2N8YyefuTvFIbgCiCYoXVU,audio_features,spotify:track:2N8YyefuTvFIbgCiCYoXVU,0.228
68,Adele,My Little Love,2DuPBbS5mIldXnh7Wum8Cy,89,0.829,https://api.spotify.com/v1/audio-analysis/2DuPBbS5mIldXnh7Wum8Cy,0.339,389107.0,0.492,0.00377,1.0,0.147,-10.661,1.0,0.0559,151.865,4.0,https://api.spotify.com/v1/tracks/2DuPBbS5mIldXnh7Wum8Cy,audio_features,spotify:track:2DuPBbS5mIldXnh7Wum8Cy,0.102
